JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
"Automotive CAE Engineer","Computer-Aided Engineering, Automotive Design","ANSYS, SolidWorks","Git","Analytical Skills, Problem-solving","MATLAB, JIRA"
"Automotive Systems Design Engineer","Systems Design, Automotive Engineering","MATLAB, Simulink","Git","Creativity, Teamwork","ANSYS, Fusion 360"
"Automotive Electronics Design Engineer","Electronics Design, Automotive Engineering","Circuit Design, PCB Layout","Git","Problem-solving, Initiative","Altium Designer, LTspice"
"Automotive Design Software Specialist","Software Development, Automotive Design","C#, Python","Git","Analytical Skills, Communication","Visual Studio, JIRA"
"Automotive Product Development Engineer","Product Development, Automotive Engineering","SolidWorks, Pro/ENGINEER","Git","Creativity, Problem-solving","ANSYS, MATLAB"
"Automotive Styling Engineer (CAD)","Styling Design, CAD Software","SolidWorks, CATIA","Git","Creativity, Attention to Detail","Fusion 360, SketchUp"
"Automotive Assembly Design Engineer","Assembly Design, Automotive Engineering","SolidWorks, AutoCAD","Git","Problem-solving, Teamwork","Inventor, MATLAB"
"Automotive Engineering Analyst (CAD)","Engineering Analysis, CAD Software","ANSYS, SolidWorks","Git","Analytical Skills, Attention to Detail","MATLAB, JIRA"
"Automotive Design Process Engineer","Process Engineering, Automotive Design","SolidWorks, Pro/ENGINEER","Git","Creativity, Initiative","Fusion 360, Revit"
"Automotive Packaging Design Engineer","Packaging Design, Automotive Engineering","AutoCAD, SolidWorks","Git","Attention to Detail, Teamwork","Inventor, MATLAB"
"Automotive Surface Modeling Engineer","Surface Modeling, CAD Software","CATIA, SolidWorks","Git","Creativity, Problem-solving","Fusion 360, JIRA"
"Automotive Crashworthiness Engineer (Simulation)","Crashworthiness, Simulation Software","ANSYS, MATLAB","Git","Analytical Skills, Communication","Simulink, PTC Creo"
"Hybrid/Electric Vehicle Design Engineer","Hybrid Vehicle Design, CAD Software","SolidWorks, MATLAB","Git","Problem-solving, Initiative","Fusion 360, Revit"
"Automotive FEA (Finite Element Analysis) Engineer","Finite Element Analysis, CAD Software","ANSYS, SolidWorks","Git","Analytical Skills, Attention to Detail","MATLAB, Inventor"
"Vehicle Aerodynamics Engineer (CAD)","Aerodynamics, CAD Software","SolidWorks, ANSYS","Git","Creativity, Teamwork","Fusion 360, Revit"
"Vehicle Systems Integration Engineer (Software)","Systems Integration, Software Development","C++, Python","Git","Analytical Skills, Communication","Visual Studio, JIRA"
"Automotive Digital Design Engineer","Digital Design, Automotive Engineering","C#, Python","Git","Creativity, Problem-solving","Visual Studio, MATLAB"
"Automotive Embedded Systems Design Engineer","Embedded Systems, Automotive Engineering","C, C++","Git","Analytical Skills, Initiative","Altium Designer, JIRA"
"Automotive Design Validation Engineer","Design Validation, Automotive Engineering","MATLAB, SolidWorks","Git","Problem-solving, Teamwork","ANSYS, Fusion 360"
"Automotive R&D Design Engineer","Research and Development, Automotive Engineering","SolidWorks, Pro/ENGINEER","Git","Creativity, Initiative","MATLAB, JIRA"
"Automotive Suspension Design Engineer","Suspension Design, CAD Software","SolidWorks, AutoCAD","Git","Analytical Skills, Attention to Detail","Fusion 360, Revit"
"Automotive HVAC System Design Engineer","HVAC Design, Automotive Engineering","AutoCAD, SolidWorks","Git","Problem-solving, Initiative","MATLAB, ANSYS"
"Automotive Lightweight Design Engineer","Lightweight Design, CAD Software","SolidWorks, ANSYS","Git","Creativity, Teamwork","Fusion 360, JIRA"
"Automotive Safety Systems Design Engineer","Safety Systems, Automotive Engineering","ANSYS, SolidWorks","Git","Analytical Skills, Problem-solving","MATLAB, Inventor"
"Automotive Concept Design Engineer","Concept Design, Automotive Engineering","SolidWorks, CATIA","Git","Creativity, Initiative","Fusion 360, Revit"
"Automotive Manufacturing Design Engineer (CAD)","Manufacturing Design, CAD Software","AutoCAD, SolidWorks","Git","Attention to Detail, Teamwork","Inventor, MATLAB"
"Automotive Seating Design Engineer","Seating Design, CAD Software","SolidWorks, AutoCAD","Git","Creativity, Problem-solving","Fusion 360, JIRA"
"Automotive Thermal Systems Design Engineer","Thermal Systems, Automotive Engineering","ANSYS, SolidWorks","Git","Analytical Skills, Attention to Detail","MATLAB, Inventor"
"Automotive BIW (Body in White) Design Engineer","Body in White Design, CAD Software","SolidWorks, CATIA","Git","Problem-solving, Initiative","Fusion 360, Revit"
"Autonomous Vehicle Design Engineer (Software)","Autonomous Vehicle Design, Software Development","C++, Python","Git","Analytical Skills, Teamwork","Visual Studio, JIRA"
"Automotive Design Software Integration Specialist","Software Integration, Automotive Design","API Development, Python","Git","Creativity, Problem-solving","MATLAB, Fusion 360"
"Automotive Drivetrain Design Engineer","Drivetrain Design, CAD Software","SolidWorks, CATIA","Git","Analytical Skills, Initiative","ANSYS, Inventor"
"Automotive Mechatronics Design Engineer","Mechatronics Design, Automotive Engineering","SolidWorks, MATLAB","Git","Creativity, Teamwork","Fusion 360, Revit"
