JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
"Construction and Architecture Software Engineer","Software Development, Architecture","C#, Revit API","Git","Teamwork, Communication","Visual Studio, Excel"
"Architectural Workflow Automation Specialist","Workflow Automation, Software Solutions","Zapier, Revit","Git","Problem-solving, Adaptability","BIM 360, AutoCAD"
"Urban Planning Software Architect","Urban Planning, Software Development","GIS, AutoCAD","Git","Critical Thinking, Teamwork","Power BI, Excel"
"Interior Design Software Specialist","Interior Design, Software Development","AutoCAD, SketchUp","Git","Creativity, Attention to Detail","Revit, Adobe Suite"
"Augmented Reality Architect (Architecture)","Augmented Reality, 3D Modeling","Unity, ARKit","Git","Creativity, Collaboration","BIM 360, AutoCAD"
"Architectural Project Management Software Engineer","Project Management, Software Development","Primavera P6, MS Project","Git","Leadership, Organization","Excel, JIRA"
"Digital Fabrication Architect","Digital Fabrication, Design","CNC, Revit","Git","Creativity, Technical Skills","AutoCAD, BIM 360"
"Architectural Systems Integration Engineer","Systems Integration, Engineering","Revit, Navisworks","Git","Analytical Skills, Teamwork","Excel, Power BI"
"Architecture Data Analyst","Data Analysis, Architecture","R, Python","Git","Attention to Detail, Communication","Tableau, Excel"
"Virtual Building Architect","Virtual Building Technology, Design","Revit, BIM 360","Git","Problem-solving, Creativity","AutoCAD, SketchUp"
"Sustainable Architecture Software Engineer","Sustainable Design, Software Development","Revit, AutoCAD","Git","Adaptability, Teamwork","Power BI, Excel"
"Architecture CAD Specialist","CAD, Architectural Design","AutoCAD, Revit","Git","Attention to Detail, Creativity","SketchUp, BIM 360"
"Smart City Architect","Smart City Technology, Planning","GIS, AutoCAD","Git","Critical Thinking, Communication","Power BI, Excel"
"Architectural Technology Consultant","Technology Consulting, Architecture","Revit, AutoCAD","Git","Analytical Skills, Teamwork","Microsoft Project, Power BI"
"Computational Geometry Specialist (Architecture)","Computational Geometry, Design","Rhino, Grasshopper","Git","Creativity, Problem-solving","Revit, AutoCAD"
"Architecture Software QA Engineer","Quality Assurance, Software Testing","Selenium, JUnit","Git","Attention to Detail, Analytical Skills","JIRA, Excel"
"BIM Software Consultant","BIM Consulting, Software Solutions","Revit, Navisworks","Git","Problem-solving, Communication","BIM 360, AutoCAD"
"Digital Building Architect","Digital Building Technology, Design","Revit, BIM 360","Git","Creativity, Teamwork","AutoCAD, SketchUp"
"Architecture Project Control Software Specialist","Project Control, Software Development","Primavera P6, MS Project","Git","Analytical Skills, Communication","Excel, Power BI"
"3D Printing Architect (Architecture)","3D Printing, Design","Revit, CAD Software","Git","Creativity, Problem-solving","BIM 360, AutoCAD"
"Architecture Workflow Management Engineer","Workflow Management, Software Development","Trello, Asana","Git","Leadership, Organization","Excel, Power BI"
"Architecture Design Automation Engineer","Design Automation, Software Development","Dynamo, Grasshopper","Git","Creativity, Attention to Detail","Revit, AutoCAD"
"GIS Architect (Architecture)","GIS, Architecture","ArcGIS, AutoCAD","Git","Analytical Skills, Teamwork","Power BI, Excel"
"Architectural Documentation Software Specialist","Documentation, Software Development","MS Project, SharePoint","Git","Organization, Communication","Excel, Power BI"
"Architectural Engineering Software Developer","Software Development, Engineering","C#, Java","Git","Creativity, Problem-solving","Visual Studio, JIRA"
